ISBN,Title,Total,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May. 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,OAPEN link
ISBN 9783944675473,A grammar of Pite Saami,4865,739,796,1038,879,940,231,26,34,33,70,41,38,http://oapen.org/search?identifier=533870
ISBN 9783944675831,New directions in corpus-based translation studies,986,37,53,98,85,116,87,74,86,79,101,101,69,http://oapen.org/search?identifier=559833
ISBN 9783946234043,The empirical base of linguistics: Grammaticality judgments and linguistic methodology,944,70,83,101,92,81,75,69,46,78,95,96,58,http://oapen.org/search?identifier=603356
ISBN 9783946234104,Roots of language,635,44,38,46,56,45,40,34,33,58,76,104,61,http://oapen.org/search?identifier=603354
ISBN 9783946234418,Grammatical theory: From transformational grammar to constraint-based approaches,566,99,67,115,29,35,30,18,22,26,48,46,31,http://oapen.org/search?identifier=611693
ISBN 9783944675565,"Linguistic variation, identity construction and cognition",516,22,68,46,41,41,39,27,30,67,35,62,38,http://oapen.org/search?identifier=603352
ISBN 9783944675503,Einführung in die grammatische Beschreibung des Deutschen,487,51,39,40,80,68,39,14,26,25,53,28,24,http://oapen.org/search?identifier=533872
ISBN 9783946234692,Eyetracking and Applied Linguistics,418,7,27,15,7,14,10,33,63,89,61,58,34,http://oapen.org/search?identifier=622451
ISBN 9783946234050,Thoughts on grammaticalization,413,27,17,19,24,23,39,46,47,44,49,33,45,http://oapen.org/search?identifier=603353
ISBN 9781530889341,Adjective attribution,328,29,25,57,39,22,6,7,10,35,37,35,26,http://oapen.org/search?identifier=620293
ISBN 9781537504957,"Einführung in die grammatische Beschreibung des Deutschen. Zweite, überarbeitete Auflage",317,26,24,13,26,17,13,20,19,29,52,43,35,http://oapen.org/search?identifier=620310
ISBN 9783946234388,Advances in the study of Siouan languages and linguistics,310,20,30,37,25,38,25,25,21,21,21,24,23,http://oapen.org/search?identifier=611691
ISBN 9783944675480,The Alor-Pantar languages: History and typology,309,19,35,45,25,28,28,17,18,18,20,29,27,http://oapen.org/search?identifier=533875
ISBN 9783944675855,The evolution of case grammar,230,21,39,31,24,16,21,10,1,12,9,28,18,http://oapen.org/search?identifier=611694
ISBN 9783946234333,A grammar of Palula,192,15,7,16,17,23,15,16,13,19,11,20,20,http://oapen.org/search?identifier=611690
ISBN 9783944675558,Grammaticalization in the North: Noun phrase morphosyntax in Scandinavian vernaculars,188,16,16,28,14,18,18,12,11,6,16,12,21,http://oapen.org/search?identifier=559871
ISBN 9783946234135,A grammar of Yakkha,179,16,22,17,18,21,18,13,8,13,20,9,4,http://oapen.org/search?identifier=603340
ISBN 9783946234814,"On looking into words (and beyond): Structures, Relations, Analyses",170,0,0,0,0,0,4,15,12,31,50,35,23,http://oapen.org/search?identifier=631257
ISBN 9783944675640,"Die Sprachwissenschaft: Ihre Aufgaben, Methoden und bisherigen Ergebnisse",163,18,22,10,22,14,7,32,7,8,8,12,3,http://oapen.org/search?identifier=611696
ISBN 9783946234012,How mobile robots can self-organise a vocabulary,157,8,8,14,19,13,24,13,6,13,16,18,5,http://oapen.org/search?identifier=603358
ISBN 9783944675428,The Talking Heads experiment: Origins of words and meanings,148,25,8,26,17,10,13,11,3,14,4,4,13,http://oapen.org/search?identifier=559870
ISBN 9783946234234,A grammar of Yauyos Quechua,148,0,0,0,0,0,2,9,29,28,26,32,22,http://oapen.org/search?identifier=631268
ISBN 9783946234845,New perspectives on cohesion and coherence,136,0,0,0,0,0,3,22,25,14,20,37,15,http://oapen.org/search?identifier=631259
ISBN 9783944675503,"Natural causes of language: Frames, biases, and cultural transmission",135,22,20,16,19,8,8,3,6,14,5,4,10,http://oapen.org/search?identifier=533873
ISBN 9783944675541,A grammar of Mauwake,133,31,15,16,2,5,6,3,5,17,11,12,10,http://oapen.org/search?identifier=603339
ISBN 9783944675466,The evolution of grounded spatial language,127,17,16,11,8,8,9,11,5,7,14,12,9,http://oapen.org/search?identifier=611695
ISBN 9783944675190,A typology of marked-S languages,126,14,17,20,14,3,3,7,15,8,8,6,11,http://oapen.org/search?identifier=533871
ISBN 9783944675015,Prosodic detail in Neapolitan Italian,117,9,22,9,13,9,14,6,5,8,5,8,9,http://oapen.org/search?identifier=533874
ISBN 9783944675633,Syntax und Valenz: Zur Modellierung kohärenter und elliptischer Strukturen mit Baumadjunktionsgrammatiken,109,9,12,7,10,7,6,11,10,7,9,7,14,http://oapen.org/search?identifier=603338
ISBN 9783944675442,Language strategies for the domain of colour,101,11,16,8,10,9,5,8,5,11,8,6,4,http://oapen.org/search?identifier=603341
ISBN 9783946234937,A dictionary and grammatical outline of Chakali,98,0,0,0,0,0,3,16,7,8,15,39,10,http://oapen.org/search?identifier=631255
ISBN 9783946234784,Sprachliche Imitation - Jiddisch in der deutschsprachigen Literatur (18.–20. Jahrhundert),96,6,13,9,4,5,5,9,12,9,5,13,6,http://oapen.org/search?identifier=622432
ISBN 9783946234661,Dependencies in language: On the causal ontology of linguistic systems,93,0,0,0,0,0,5,8,13,15,6,19,27,http://oapen.org/search?identifier=631263
ISBN 9783946234913,The Alor-Pantar languages: History and typology. Second edition.,91,0,0,0,0,0,2,10,8,16,14,13,28,http://oapen.org/search?identifier=631252
ISBN 9783946234203,The future of dialects: Selected papers from Methods in Dialectology XV,90,11,8,20,5,2,4,4,8,7,5,10,6,http://oapen.org/search?identifier=603313
ISBN 9783944675879,A grammar of Papuan Malay,87,0,0,0,0,0,2,15,21,10,10,13,16,http://oapen.org/search?identifier=631266
ISBN 9783944675688,The Ik language: Dictionary and grammar sketch,68,0,0,0,0,0,2,5,5,6,13,17,20,http://oapen.org/search?identifier=631280
ISBN 9783946234685,Tone in Yongning Na: Lexical tones and morphotonology,34,0,0,0,0,0,2,4,11,8,4,3,2,http://oapen.org/search?identifier=631271
