Title,Quantity,Total margin (EUR)
A  ,2,20.82
A  ,20,153.64
B,1,0.37
B,1,4.94
C ,5,50.2
C ,2,22.61
D ,12,104.11
E ,12,56.4
E ,6,22.56
F ,3,30.42
G ,1,2.74
G ,2,14.98
H ,22,90.99
H ,14,82.65
I ,1,6.6
J,2,10.46
K,3,31.54
L ,1,9.49
M ,9,48.41
M ,8,50.91
N ,1,13.71
O ,2,34.59
P,40,442.69
P,13,73.31
Q,6,38.84
Q,3,34.68
R ,12,65.61
S ,3,4.8
S ,2,2.86
T ,2,13.4
T ,1,2
U ,2,7.52
V,4,15.6
W,5,53.55
W,2,25.3
X,17,102.12
X,18,92.5
Y,4,8.88
Y,4,12.64
Z,1,7.99
AA,9,57.9
AA,3,18.62
BB,6,50.81
BB,5,37.52
CC,18,189.2
DD,4,13.48
EE,21,37.63
FF,4,42.68
FF,1,15.13
GG,1,4.1
HH,3,35.56
HH,2,18.8
II,3,8.1
II,1,4.26
JJ,10,59.32
JJ,11,56.63
KK,6,96.7
LL,4,57.3
LL,1,11.33
MM,2,17.64
MM,2,27.92
NN,12,162.66
OO,16,90.27
PP,1,3.75
QQ,1,3.65
RR,80,538.87
RR,10,96.24
SS,16,177.29
