Title Code,Units,Royalty USD,Royalty GBP,Royalty EUR
B,5,15.92,9.14,22.42
D ,1,0.00,9.40,0.00
E  ,9,63.85,6.00,9.33
F,15,57.47,10.68,15.22
G ,5,18.38,11.08,25.88
I,1,5.79,0.00,0.00
J,3,27.45,0.00,0.00
O,41,50.55,0.00,0.00
P,67,0.06,7.44,188.49
P,4,8.96,0.00,0.00
Q,2,24.30,0.00,0.00
S ,14,38.04,11.24,63.54
T ,21,94.80,29.36,63.25
V,1,5.75,0.00,0.00
Y ,9,31.25,13.74,20.32
Z ,14,77.44,12.14,9.20
EE,5,37.20,8.30,0.00
FF,7,27.78,0.00,9.24
FF,6,0.00,0.00,1.44
GG,1,0.00,0.00,12.36
HH,1,0.00,6.14,0.00
II,7,21.92,0.00,0.00
JJ,1,8.13,0.00,0.00
LL,2,0.00,0.00,32.40
MM,40,409.36,0.00,19.04
PP,24,117.24,18.00,69.84
VV,22,5.20,31.70,60.20
WW,1,11.03,0.00,0.00
XX,15,20.92,0.00,27.88
YY,7,21.81,22.12,27.04
ZZ,23,27.88,0.00,64.47
